"Requirement ID","Priority/Category","Test Case(s)","Design/Implementation Link"
"FR-001","MUST","Acq-Rate-001; FastDecimate-001","docs/spec.md#functional-specification"
"FR-002","MUST","UI-Update-001; Plot-Decouple-001","docs/flows.md#lock-and-run"
"FR-003","MUST","CAN-CCP-001; Modbus-001","docs/interfaces.md#hardware--drivers"
"FR-004","SHOULD","Calc-Expr-001","docs/spec.md#plugins"
"FR-005","MUST","Excel-Export-001; Excel-Split-001","docs/interfaces.md#data-io"
"FR-006","MUST","Disk-Warn-001","docs/spec.md#key-requirements"
"FR-007","MUST","Start-Block-001","docs/flows.md#session-setup-wf-session"
"FR-008","MUST","Segment-Naming-001","docs/spec.md#key-requirements"
"FR-009","SHOULD","Stats-Rate-001","docs/spec.md#plugins"
"FR-010","MUST","Post-Comments-001","docs/flows.md#lock-and-run-wf-lock_start_stop"
"FR-011","MUST","Plugin-Error-UI-001","docs/interfaces.md#ipc-core--ui"
"FR-012","MUST","Config-Snapshot-001","docs/spec.md#config--run-artifacts"
"NFR-001","Reliability","Crash-Recovery-001","docs/spec.md#key-requirements"
"NFR-002","Performance","Sustain-4h-001; UI-Latency-001","docs/spec.md#key-requirements"
"NFR-003","Security","Local-Only-001","docs/ai_context.yaml#security"
"NFR-004","Maintainability","Plugin-Lifecycle-001","docs/spec.md#plugins"


