ts_iso8601,alias,from,to,value,ts,ts_hms
2025-08-12T21:51:00.419,Room Temp,OK,WARN,25.312868930080462,1755049860.4191575,21:51:00.419
2025-08-12T21:51:03.639,Room Temp,WARN,OK,23.097886967409693,1755049863.6392567,21:51:03.639
2025-08-12T21:51:04.369,Room Temp,OK,WARN,24.687131069919538,1755049864.369983,21:51:04.370
2025-08-12T21:51:07.729,Room Temp,WARN,OK,23.097886967409703,1755049867.7290924,21:51:07.729
2025-08-12T21:51:08.451,Room Temp,OK,WARN,24.687131069919584,1755049868.4518576,21:51:08.452
2025-08-12T21:51:11.819,Room Temp,WARN,OK,23.097886967409725,1755049871.8192255,21:51:11.819
2025-08-12T21:51:12.542,Room Temp,OK,WARN,24.687131069919655,1755049872.5421891,21:51:12.542
2025-08-12T21:51:15.881,Room Temp,WARN,OK,23.097886967409746,1755049875.8815646,21:51:15.882
2025-08-12T21:51:16.597,Room Temp,OK,WARN,24.687131069919722,1755049876.5974495,21:51:16.597
2025-08-12T21:51:18.669,LB Measured Load,OK,WARN,49.97623140989543,1755049878.6698954,21:51:18.670
2025-08-12T21:51:20.024,Room Temp,WARN,OK,23.097886967409767,1755049880.0248778,21:51:20.025
2025-08-12T21:51:20.747,Room Temp,OK,WARN,24.687131069919793,1755049880.7470715,21:51:20.747
2025-08-12T21:51:24.090,Room Temp,WARN,OK,23.09788696740979,1755049884.0904696,21:51:24.090
2025-08-12T21:51:24.825,Room Temp,OK,WARN,24.687131069919857,1755049884.8256757,21:51:24.826
2025-08-12T21:51:28.177,Room Temp,WARN,OK,23.09788696740981,1755049888.1773143,21:51:28.177
2025-08-12T21:51:28.893,Room Temp,OK,WARN,24.687131069919925,1755049888.8935308,21:51:28.894
